"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 23:25:47 GMT 2023","Sat Jun 10 23:25:53 GMT 2023","6714","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddATodo","Should be able to add a todo",""
"passed","Sat Jun 10 23:25:47 GMT 2023","Sat Jun 10 23:25:54 GMT 2023","7015","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToDeleteATodo","Should be able to delete a todo",""
"passed","Sat Jun 10 23:25:47 GMT 2023","Sat Jun 10 23:25:49 GMT 2023","2899","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplication","Should be able to signup",""
